Prospect_Name,Rep_Name,Territory,Campaign_Type,Last_Contact,Total_Interactions,Company_Size,Revenue_Potential,Historical_Conversion_Rate,Phone,Email
ABC Contractors,Alice,East,Subscription Winback,2026-02-28,12,250,15000,0.85,555-0101,abc@example.com
XYZ Services,Bob,West,Acquisition Winback,2026-02-25,8,180,12000,0.72,555-0102,xyz@example.com
Quick Repairs Inc,Alice,East,Expired with Payment,2026-01-15,5,120,8000,0.60,555-0103,quick@example.com
Pro Plumbing Co,Carol,East,Subscription Winback,2026-03-01,15,400,22000,0.90,555-0104,pro@example.com
Metro Electric,Dave,West,Acquisition Winback,2026-02-20,3,80,5000,0.45,555-0105,metro@example.com
Sunrise Landscaping,Eve,West,Expired with Payment,2026-02-10,6,150,9500,0.55,555-0106,sunrise@example.com
Northern HVAC,Frank,West,Subscription Winback,2026-03-02,10,300,18000,0.80,555-0107,northern@example.com
Premium Roofing,Grace,Central,Acquisition Winback,2026-01-20,4,200,11000,0.65,555-0108,premium@example.com
City Painting,Heidi,Central,Expired with Payment,2026-02-28,9,160,10000,0.70,555-0109,city@example.com
Reliable Fencing,Ivan,Central,Subscription Winback,2026-03-03,14,350,20000,0.88,555-0110,reliable@example.com
Budget Builders,Alice,East,Acquisition Winback,2026-02-05,2,60,3500,0.30,555-0111,budget@example.com
Express Plumbing,Bob,West,Expired with Payment,2026-02-18,7,140,7500,0.50,555-0112,express@example.com
Maple Renovations,Carol,East,Subscription Winback,2026-03-01,11,280,16000,0.82,555-0113,maple@example.com
Pacific Siding,Dave,West,Acquisition Winback,2026-01-10,1,90,4000,0.25,555-0114,pacific@example.com
Central Drywall,Grace,Central,Expired with Payment,2026-02-22,8,170,9000,0.62,555-0115,central@example.com
